Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,198
design__instance__area,1506.44
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00009772599878488109
power__switching__total,0.000038396232412196696
power__leakage__total,1.5769433536760857E-9
power__total,0.00013612379552796483
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25288119536384174
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25278610475909324
timing__hold__ws__corner:nom_tt_025C_1v80,0.7614997181698773
timing__setup__ws__corner:nom_tt_025C_1v80,15.489171272889607
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.761500
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,11
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2540720761248863
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25398364685847397
timing__hold__ws__corner:nom_ss_100C_1v60,1.7722357416550916
timing__setup__ws__corner:nom_ss_100C_1v60,13.124179448017081
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.772236
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25217587065634944
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2520776436714677
timing__hold__ws__corner:nom_ff_n40C_1v95,0.4189151089034449
timing__setup__ws__corner:nom_ff_n40C_1v95,16.384451592553912
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.418915
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,11
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.251746214333668
clock__skew__worst_setup,0.2517207069589558
timing__hold__ws,0.416028362424323
timing__setup__ws,13.087972853714012
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.416028
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 50.915 61.635
design__core__bbox,5.52 10.88 45.08 48.96
design__io,14
design__die__area,3138.15
design__core__area,1506.44
design__instance__count__stdcell,105
design__instance__area__stdcell,1228.68
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.815615
design__instance__utilization__stdcell,0.815615
design__rows,14
design__rows:unithd,14
design__sites,1204
design__sites:unithd,1204
design__instance__count__class:inverter,2
design__instance__area__class:inverter,7.5072
design__instance__count__class:sequential_cell,19
design__instance__area__class:sequential_cell,404.138
design__instance__count__class:multi_input_combinational_cell,28
design__instance__area__class:multi_input_combinational_cell,351.587
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,93
design__instance__area__class:fill_cell,277.766
design__instance__count__class:tap_cell,16
design__instance__area__class:tap_cell,20.0192
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,12
design__io__hpwl,331354
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,557.11
design__instance__displacement__mean,4.188
design__instance__displacement__max,40.846
route__wirelength__estimated,2201.64
design__violations,0
design__instance__count__class:timing_repair_buffer,37
design__instance__area__class:timing_repair_buffer,370.355
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,3
design__instance__area__class:clock_buffer,75.072
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,24
global_route__vias,688
global_route__wirelength,3753
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,98
route__net__special,2
route__drc_errors__iter:0,11
route__wirelength__iter:0,2292
route__drc_errors__iter:1,4
route__wirelength__iter:1,2307
route__drc_errors__iter:2,5
route__wirelength__iter:2,2294
route__drc_errors__iter:3,0
route__wirelength__iter:3,2289
route__drc_errors,0
route__wirelength,2289
route__vias,578
route__vias__singlecut,578
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,93.82
timing__unannotated_net__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
