sub_dir,.param cbn,.param cbp,D0,D1,D2,D3
,590m,980m,6.125106e-11,1.994647e-10,6.012140e-11,2.021423e-10
run_650_460,650m,460m,5.184829e-11,2.793308e-10,5.184829e-11,2.793311e-10
run_520_820,520m,820m,6.555400e-11,2.332787e-10,6.555400e-11,2.332787e-10
run_580_580,580m,580m,5.791163e-11,2.607915e-10,5.866628e-11,2.578762e-10
run_580_560,580m,560m,5.851587e-11,2.637279e-10,5.851588e-11,2.637280e-10
run_530_560,530m,560m,6.184718e-11,2.749229e-10,6.265462e-11,2.718173e-10
run_640_560,640m,560m,5.590768e-11,2.588039e-10,5.590768e-11,2.588040e-10
run_570_1000,570m,1000m,6.349052e-11,2.123766e-10,6.349052e-11,2.123765e-10
run_590_900,590m,900m,6.040998e-11,2.153820e-10,6.040998e-11,2.153820e-10
run_550_740,550m,740m,6.696516e-11,2.454589e-10,6.696516e-11,2.454589e-10
run_510_460,510m,460m,6.338581e-11,3.099319e-10,6.422452e-11,3.058364e-10
run_660_780,660m,780m,5.326351e-11,2.153062e-10,5.326351e-11,2.153062e-10
run_530_880,530m,880m,6.484376e-11,2.175754e-10,6.408458e-11,2.209007e-10
run_660_680,660m,680m,5.271518e-11,2.268206e-10,5.271518e-11,2.268206e-10
run_480_520,480m,520m,6.892780e-11,2.992003e-10,6.892780e-11,2.992006e-10
run_590_600,590m,600m,5.852363e-11,2.529293e-10,5.852363e-11,2.529294e-10
run_530_820,530m,820m,6.445825e-11,2.313453e-10,6.445826e-11,2.313453e-10
run_580_440,580m,440m,5.767308e-11,3.074428e-10,5.767308e-11,3.074432e-10
run_550_600,550m,600m,6.515122e-11,2.689294e-10,6.598718e-11,2.659684e-10
run_630_880,630m,880m,5.797284e-11,2.126414e-10,5.797284e-11,2.126413e-10
run_430_760,430m,760m,7.980223e-11,2.652975e-10,7.886208e-11,2.690733e-10
run_580_700,580m,700m,5.942230e-11,2.365639e-10,5.942231e-11,2.365639e-10
run_460_500,460m,500m,7.198547e-11,3.145911e-10,7.198547e-11,3.145913e-10
run_620_420,620m,420m,5.522520e-11,3.151106e-10,5.522520e-11,3.151110e-10
run_630_920,630m,920m,5.819360e-11,2.090090e-10,5.819360e-11,2.090089e-10
run_540_1000,540m,1000m,6.447177e-11,2.138934e-10,6.447177e-11,2.138933e-10
run_540_880,540m,880m,6.378762e-11,2.233125e-10,6.378762e-11,2.233125e-10
run_520_800,520m,800m,6.541058e-11,2.353351e-10,6.541058e-11,2.353352e-10
run_660_800,660m,800m,5.338205e-11,2.132701e-10,5.338205e-11,2.132701e-10
run_490_720,490m,720m,6.896067e-11,2.510056e-10,6.896067e-11,2.510057e-10
run_440_480,440m,480m,7.541097e-11,3.304942e-10,7.541097e-11,3.304943e-10
run_600_980,600m,980m,6.060309e-11,2.078593e-10,6.060309e-11,2.078593e-10
run_650_840,650m,840m,5.391302e-11,2.087602e-10,5.391302e-11,2.087602e-10
run_530_720,530m,720m,6.375424e-11,2.416996e-10,6.375424e-11,2.416996e-10
run_640_680,640m,680m,5.663411e-11,2.338176e-10,5.663411e-11,2.338176e-10
run_520_560,520m,560m,6.369554e-11,2.731289e-10,6.369554e-11,2.731291e-10
run_510_480,510m,480m,6.435991e-11,3.033741e-10,6.435991e-11,3.033744e-10
