TIME,V(XTOP:S1_B),V(XTOP:X4),V(XTOP:X1),V(XTOP:S0),V(XTOP:X7),V(XTOP:S2),V(XTOP:X3),V(XTOP:XDUT:UPPER_LEFT__A1),V(XTOP:X2),V(XTOP:DUT_VPB),V(XTOP:XDUT:A1),V(XTOP:XDUT:UPPER_RIGHT__A1),V(XTOP:XDUT:A3),V(XTOP:XDUT:A0),V(XTOP:XDUT:UPPER_LEFT__A0),V(XTOP:X5),V(XTOP:XDUT:LOWER_RIGHT__A1),V(XTOP:XDUT:LOWER_LEFT__A0),V(XTOP:S2_B),V(XTOP:XDUT:LOWER_LEFT__A1),V(XTOP:XDUT:A2),V(XTOP:XDUT:UPPER_RIGHT__A0),V(XTOP:S1),V(XTOP:Z),V(XTOP:S0_B),V(XTOP:X0),V(XTOP:XDUT:LOWER_RIGHT__A0),V(XTOP:X6),I(XTOP:VS1_DRIVER),I(XTOP:VS1_B_DRIVER),I(XTOP:VS2_DRIVER),I(XTOP:VINIT_X0),I(XTOP:VS2_B_DRIVER),I(XTOP:VPOWER),I(XTOP:VS0_B_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VINIT_X4),I(XTOP:VINIT_X1),I(XTOP:VS0_DRIVER),I(XTOP:VINIT_X3),I(XTOP:VINIT_X6),I(XTOP:VINIT_X5),I(XTOP:VINIT_X7),I(XTOP:VINIT_X2)
0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533016e-08,0.00000000e+00,1.80000000e+00,5.35586568e-11,3.06190095e-01,3.37408605e-01,4.78530451e-08,5.35588656e-11,1.80000000e+00,3.24120200e-01,5.35588003e-11,1.80000000e+00,5.35586709e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527895e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,-4.42623925e-42,-6.47886071e-44,1.52346996e-43,2.69143484e-11,-1.82967703e-43,-4.39358022e-11,-3.64706330e-42,0.00000000e+00,1.94437884e-11,-1.00289206e-11,-4.84493919e-42,-9.94191795e-12,1.50332816e-11,-9.81622692e-12,-9.94191795e-12,1.50332816e-11
2.50000000e-13,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533016e-08,0.00000000e+00,1.80000000e+00,5.35586593e-11,3.06190095e-01,3.37408605e-01,4.78530452e-08,5.35588449e-11,1.80000000e+00,3.24120200e-01,5.35588062e-11,1.80000000e+00,5.35586755e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527895e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,-2.06914853e-19,2.05260193e-19,-3.14925948e-20,2.69143486e-11,3.53168443e-20,-4.39358026e-11,-1.99557998e-19,3.33076795e-20,1.94437884e-11,-1.00289206e-11,-5.57739889e-20,-9.94191797e-12,1.50332815e-11,-9.81622694e-12,-9.94191797e-12,1.50332816e-11
7.50000000e-13,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533017e-08,0.00000000e+00,1.80000000e+00,5.35586696e-11,3.06190095e-01,3.37408605e-01,4.78530452e-08,5.35588880e-11,1.80000000e+00,3.24120200e-01,5.35588284e-11,1.80000000e+00,5.35586930e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527895e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,9.88995698e-21,5.49194957e-20,3.01334871e-19,2.69143486e-11,2.13757002e-20,-4.39358031e-11,-1.44746255e-18,6.14168997e-20,1.94437884e-11,-1.00289206e-11,1.81173115e-19,-9.94191796e-12,1.50332815e-11,-9.81622693e-12,-9.94191796e-12,1.50332819e-11
1.75000000e-12,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533016e-08,0.00000000e+00,1.80000000e+00,5.35587111e-11,3.06190095e-01,3.37408605e-01,4.78530452e-08,5.35587450e-11,1.80000000e+00,3.24120200e-01,5.35588160e-11,1.80000000e+00,5.35587606e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527896e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,2.42131101e-19,4.36254043e-19,1.18621889e-19,2.69143489e-11,8.37314312e-22,-4.39358015e-11,6.20930712e-19,1.38947476e-19,1.94437884e-11,-1.00289206e-11,-6.12673652e-19,-9.94191796e-12,1.50332818e-11,-9.81622693e-12,-9.94191796e-12,1.50332814e-11
3.75000000e-12,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533016e-08,0.00000000e+00,1.80000000e+00,5.35588810e-11,3.06190095e-01,3.37408605e-01,4.78530452e-08,5.35587019e-11,1.80000000e+00,3.24120200e-01,5.35587133e-11,1.80000000e+00,5.35587420e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527895e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,3.12759683e-19,-3.60872326e-20,2.54624436e-19,2.69143483e-11,2.71646639e-19,-4.39358047e-11,2.50258438e-19,-2.85187178e-19,1.94437879e-11,-1.00289206e-11,1.42375776e-18,-9.94191800e-12,1.50332814e-11,-9.81622691e-12,-9.94191795e-12,1.50332817e-11
7.75000000e-12,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533018e-08,0.00000000e+00,1.80000000e+00,5.35586928e-11,3.06190095e-01,3.37408605e-01,4.78530454e-08,5.35587329e-11,1.80000000e+00,3.24120200e-01,5.35587718e-11,1.80000000e+00,5.35587386e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527897e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,-5.55738081e-19,4.39482566e-19,-1.55152345e-19,2.69143489e-11,-9.94095232e-20,-4.39358016e-11,2.77270103e-19,4.97470843e-19,1.94437885e-11,-1.00289207e-11,-1.57972565e-18,-9.94191788e-12,1.50332819e-11,-9.81622693e-12,-9.94191796e-12,1.50332816e-11
1.27500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533018e-08,0.00000000e+00,1.80000000e+00,5.35591215e-11,3.06190095e-01,3.37408605e-01,4.78530454e-08,5.35587612e-11,1.80000000e+00,3.24120200e-01,5.35586879e-11,1.80000000e+00,5.35589757e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527900e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,8.60196889e-19,-2.91903166e-19,5.93667456e-20,2.69143484e-11,2.54612701e-19,-4.39358046e-11,-1.82435978e-19,-3.21527570e-19,1.94437883e-11,-1.00289206e-11,1.49497564e-18,-9.94191803e-12,1.50332812e-11,-9.81622690e-12,-9.94191795e-12,1.50332815e-11
1.77500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533017e-08,0.00000000e+00,1.80000000e+00,5.35590806e-11,3.06190095e-01,3.37408605e-01,4.78530454e-08,5.35588530e-11,1.80000000e+00,3.24120200e-01,5.35587538e-11,1.80000000e+00,5.35588743e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527899e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,-1.01349117e-18,4.01543724e-19,-7.14409081e-20,2.69143489e-11,-2.74365109e-19,-4.39358013e-11,8.09957868e-20,2.48701237e-19,1.94437886e-11,-1.00289207e-11,-1.48961430e-18,-9.94191788e-12,1.50332821e-11,-9.81622696e-12,-9.94191796e-12,1.50332818e-11
2.27500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533018e-08,0.00000000e+00,1.80000000e+00,5.35588051e-11,3.06190095e-01,3.37408605e-01,4.78530453e-08,5.35587795e-11,1.80000000e+00,3.24120200e-01,5.35587414e-11,1.80000000e+00,5.35587634e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527897e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,5.90376738e-19,-4.64061516e-19,1.94006757e-19,2.69143485e-11,1.82138895e-19,-4.39358044e-11,1.43140458e-20,-3.42903060e-19,1.94437884e-11,-1.00289206e-11,1.05942405e-18,-9.94191802e-12,1.50332812e-11,-9.81622689e-12,-9.94191797e-12,1.50332816e-11
2.77500000e-11,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,0.00000000e+00,1.80000000e+00,2.39533016e-08,0.00000000e+00,1.80000000e+00,5.35586896e-11,3.06190095e-01,3.37408605e-01,4.78530454e-08,5.35587307e-11,1.80000000e+00,3.24120200e-01,5.35587473e-11,1.80000000e+00,5.35587002e-11,2.92042959e-01,3.13471108e-01,0.00000000e+00,7.17527899e-08,1.80000000e+00,0.00000000e+00,3.13471108e-01,0.00000000e+00,-7.50964900e-19,3.02609946e-19,-1.70116965e-19,2.69143489e-11,-2.50987591e-19,-4.39358007e-11,-1.05982874e-19,4.65811310e-19,1.94437883e-11,-1.00289207e-11,-1.41502287e-18,-9.94191789e-12,1.50332818e-11,-9.81622696e-12,-9.94191796e-12,1.50332815e-11
