TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
0.00000000e+00,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627094e-09,4.92875326e-52,0.00000000e+00,0.00000000e+00,-3.82846623e-12
1.00000000e-12,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627092e-09,7.50176385e-22,0.00000000e+00,-3.83998012e-20,-3.82846625e-12
3.00000000e-12,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627085e-09,1.00815328e-21,0.00000000e+00,-7.05668948e-20,-3.82846625e-12
7.00000000e-12,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627094e-09,1.21452206e-20,0.00000000e+00,1.57255502e-19,-3.82846612e-12
1.50000000e-11,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627080e-09,-1.93486925e-20,0.00000000e+00,-2.25428231e-19,-3.82846634e-12
3.10000000e-11,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627098e-09,2.92870085e-20,9.86076132e-20,2.69589038e-19,-3.82846610e-12
6.10000000e-11,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627082e-09,-4.27271729e-20,-9.86076132e-20,-2.90377262e-19,-3.82846630e-12
9.10000000e-11,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627108e-09,2.61318942e-20,9.86076132e-20,3.25293457e-19,-3.82846610e-12
1.21000000e-10,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627074e-09,-2.92379348e-20,-9.86076132e-20,-3.71295184e-19,-3.82846631e-12
1.51000000e-10,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627098e-09,2.60042643e-20,9.86076132e-20,4.03679871e-19,-3.82846610e-12
1.81000000e-10,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627088e-09,-2.86444363e-20,-9.86076132e-20,-4.17565609e-19,-3.82846631e-12
2.11000000e-10,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627086e-09,2.37198611e-20,9.86076132e-20,4.14955233e-19,-3.82846611e-12
2.41000000e-10,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627090e-09,-2.92806982e-20,-1.51198340e-19,-4.08587577e-19,-3.82846633e-12
2.71000000e-10,1.79999999e+00,0.00000000e+00,1.80000000e+00,2.60627084e-09,4.51476101e-20,2.03789067e-19,4.00708260e-19,-3.82846614e-12
