TIME,V(XTOP:B),V(XTOP:XDUT:I_1),V(XTOP:VPWR),V(XTOP:XDUT:I_2),V(XTOP:XDUT:I_0),V(XTOP:X),V(XTOP:A),V(XTOP:XDUT:I_3),I(XTOP:VB_DRIVER),I(XTOP:VA_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VPOWER)
0.00000000e+00,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603345e-09,0.00000000e+00,2.34467012e-10,-4.17002768e-49,-3.90652517e-49,0.00000000e+00,-6.49568958e-12
2.50000000e-13,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603346e-09,0.00000000e+00,2.34467012e-10,9.96152256e-21,-2.23711651e-20,7.62024469e-20,-6.49568956e-12
7.50000000e-13,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603344e-09,0.00000000e+00,2.34467012e-10,-1.03962122e-20,-3.16414549e-20,-6.59365476e-20,-6.49568960e-12
1.75000000e-12,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603342e-09,0.00000000e+00,2.34467013e-10,3.36717564e-20,2.86282464e-20,9.86936241e-21,-6.49568948e-12
3.75000000e-12,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603347e-09,0.00000000e+00,2.34467013e-10,-1.78450644e-19,-4.80819133e-20,7.85728776e-20,-6.49568934e-12
7.75000000e-12,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603354e-09,0.00000000e+00,2.34466959e-10,5.01077335e-19,9.14034743e-20,-7.74266427e-21,-6.49568985e-12
1.27500000e-11,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603346e-09,0.00000000e+00,2.34466901e-10,-5.71168250e-19,-1.65647149e-19,-5.68528900e-20,-6.49568920e-12
1.77500000e-11,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603352e-09,0.00000000e+00,2.34466758e-10,5.76282522e-19,2.62121233e-19,1.09671039e-19,-6.49568997e-12
2.27500000e-11,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603351e-09,0.00000000e+00,2.34466954e-10,-5.55822194e-19,-2.51869424e-19,-1.18361322e-19,-6.49568921e-12
2.77500000e-11,0.00000000e+00,1.79999999e+00,1.80000000e+00,1.80000000e+00,1.79999997e+00,2.70603350e-09,0.00000000e+00,2.34466968e-10,5.75913420e-19,2.27324719e-19,1.06712544e-19,-6.49569005e-12
